modelType,featureSet,accuracy,precision_home,recall_home,f1_home,precision_draw,recall_draw,f1_draw,precision_away,recall_away,f1_away,cm_hh,cm_hd,cm_ha,cm_dh,cm_dd,cm_da,cm_ah,cm_ad,cm_aa
LogisticRegression,Odds,0.527,0.5348405078971817,0.8943552563438633,0.6693798449612401,0.0,0.0,0.0,0.49416342412451364,0.35018382352941174,0.40989779451317915,1727.0,0.0,204.0,795.0,0.0,186.0,707.0,0.0,381.0
LogisticRegression,Combined,0.9515,0.9891304347826086,0.9425168306576903,0.9652612039246884,0.8785912882298424,0.9663608562691132,0.920388349514563,0.9602220166512488,0.9540441176470589,0.9571230982019364,1820.0,84.0,27.0,17.0,948.0,16.0,3.0,47.0,1038.0
LogisticRegression,EnhancedCombined,0.95125,0.9891245241979336,0.9419989642672191,0.9649867374005305,0.87847866419295,0.9653414882772681,0.9198640116561437,0.9593721144967683,0.9549632352941176,0.9571625978811608,1819.0,85.0,27.0,17.0,947.0,17.0,3.0,46.0,1039.0
LogisticRegression,Form,0.94875,0.9917446340121079,0.9331952356292077,0.9615795090715049,0.8689717925386715,0.9734964322120285,0.9182692307692307,0.9575645756457565,0.9540441176470589,0.9558011049723758,1802.0,98.0,31.0,11.0,955.0,15.0,4.0,46.0,1038.0
LogisticRegression,ComprehensiveTeam,0.48275,0.48941869809804445,0.9461418953909891,0.6451271186440677,0.42857142857142855,0.0030581039755351682,0.006072874493927126,0.38846153846153847,0.09283088235294118,0.14985163204747776,1827.0,4.0,100.0,919.0,3.0,59.0,987.0,0.0,101.0
LDA,Odds,0.52475,0.5241911546452953,0.9145520455722423,0.6664150943396225,0.0,0.0,0.0,0.5277337559429477,0.30606617647058826,0.38743455497382207,1766.0,0.0,165.0,848.0,0.0,133.0,755.0,0.0,333.0
