@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
2.88,3.25,2.5,156.0,40.0,53.0,60.0,41.0,62.0,154.0,50.0,48.0,56.0,50.0,56.0,1.0,2.0,-1.0,0.0,2.0,1.0,1.0,1.0,away
2.5,3.0,3.0,185.0,65.0,50.0,40.0,70.0,65.0,168.0,53.0,62.0,68.0,57.0,49.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
2.05,3.3,3.6,205.0,70.0,70.0,55.0,65.0,70.0,170.0,40.0,50.0,65.0,55.0,65.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.73,3.75,4.5,160.0,42.0,52.0,56.0,50.0,58.0,115.0,52.0,36.0,64.0,47.0,32.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,home
2.35,3.3,3.0,163.0,46.0,57.0,52.0,43.0,63.0,156.0,45.0,59.0,45.0,50.0,47.0,0.0,2.0,-2.0,0.0,2.0,0.0,2.0,1.0,away
1.83,3.5,4.33,170.0,68.0,57.0,69.0,58.0,55.0,178.0,58.0,69.0,50.0,64.0,45.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.57,3.75,6.0,131.0,48.0,36.0,55.0,47.0,48.0,160.0,55.0,70.0,65.0,45.0,45.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
1.62,3.4,6.5,185.0,55.0,65.0,50.0,45.0,75.0,105.0,65.0,30.0,55.0,40.0,35.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
3.75,3.25,2.1,152.0,58.0,39.0,48.0,52.0,61.0,140.0,52.0,42.0,54.0,59.0,39.0,0.0,2.0,-2.0,0.0,2.0,0.0,2.0,1.0,away
2.4,3.3,2.88,138.0,46.0,56.0,61.0,47.0,35.0,200.0,70.0,70.0,65.0,60.0,70.0,3.0,1.0,2.0,1.0,1.0,3.0,-2.0,0.0,home
2.0,3.3,3.8,139.0,40.0,52.0,40.0,37.0,50.0,164.0,50.0,58.0,41.0,51.0,55.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.62,3.6,6.0,172.0,42.0,68.0,64.0,59.0,45.0,143.0,57.0,51.0,61.0,43.0,49.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
1.67,3.6,5.25,188.0,47.0,65.0,51.0,58.0,65.0,131.0,45.0,47.0,48.0,46.0,38.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
2.88,3.3,2.4,158.0,60.0,55.0,52.0,48.0,55.0,185.0,48.0,68.0,54.0,59.0,58.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
1.33,4.5,11.0,176.0,54.0,55.0,62.0,51.0,70.0,144.0,42.0,40.0,55.0,42.0,62.0,3.0,2.0,1.0,1.0,2.0,3.0,-1.0,0.0,home
1.67,3.6,5.25,140.0,60.0,55.0,70.0,55.0,30.0,139.0,50.0,38.0,68.0,45.0,56.0,4.0,2.0,2.0,1.0,2.0,4.0,-2.0,0.0,home
1.83,3.5,4.33,140.0,53.0,57.0,40.0,37.0,46.0,181.0,58.0,72.0,50.0,64.0,45.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,home
2.3,3.1,3.3,194.0,58.0,69.0,54.0,60.0,65.0,170.0,45.0,65.0,35.0,55.0,50.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
1.65,3.4,5.0,190.0,50.0,70.0,60.0,70.0,50.0,141.0,54.0,42.0,34.0,49.0,50.0,2.0,2.0,0.0,0.5,2.0,2.0,0.0,0.5,draw
1.83,3.25,5.0,145.0,45.0,45.0,50.0,35.0,65.0,157.0,51.0,40.0,56.0,49.0,68.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
2.4,3.0,3.2,195.0,66.0,68.0,72.0,59.0,68.0,160.0,59.0,68.0,53.0,58.0,34.0,3.0,0.0,3.0,1.0,0.0,3.0,-3.0,0.0,home
1.29,5.25,10.0,190.0,50.0,70.0,60.0,70.0,50.0,141.0,51.0,47.0,50.0,42.0,52.0,1.4,3.4,-2.0,0.2,1.0,3.8,-2.8,0.0,home
3.75,3.4,2.0,143.0,70.0,30.0,45.0,68.0,45.0,113.0,35.0,34.0,48.0,45.0,34.0,1.0,2.0,-1.0,0.0,2.0,1.0,1.0,1.0,away
2.1,3.1,3.4,163.0,48.0,58.0,54.0,39.0,66.0,163.0,39.0,64.0,52.0,36.0,63.0,3.0,2.0,1.0,1.0,2.0,3.0,-1.0,0.0,home
1.29,4.75,9.0,180.0,43.0,68.0,47.0,60.0,52.0,125.0,45.0,37.0,30.0,46.0,42.0,4.0,0.0,4.0,1.0,0.0,4.0,-4.0,0.0,home
